trade_id,date_open,ticker,direction,entry_price,shares,capital_deployed,vol_target_scale,vix_scale,atr_at_entry,trail_stop_price,take_profit_price,bt_win_rate,bt_profit_factor,bt_total_pnl,status,date_close,exit_price,exit_reason,hold_days,peak_price,gross_pnl,net_pnl
20260612_AMAT,2026-06-12,AMAT,LONG,552.6400,0.4524,250.00,0.2500,1.0000,27.6263,552.9664,690.7713,55.6,1.74,86.06,closed,2026-06-29,697.8600,take_profit,11,697.8600,65.70,64.85
20260612_STLD,2026-06-12,STLD,LONG,279.5500,1.2141,339.41,0.3394,1.0000,8.5180,250.9793,322.1402,66.7,2.79,137.97,closed,2026-06-24,243.6900,trail_stop,8,282.7600,-43.54,-44.49
20260613_INTC,2026-06-13,INTC,LONG,124.5700,2.0069,250.00,0.2500,1.0000,9.2675,108.1543,170.9076,42.9,1.29,30.09,open,,,,,140.9400,,
20260620_CSCO,2026-06-20,CSCO,LONG,119.5400,2.6022,311.07,0.3111,1.0000,4.0088,110.4493,139.5838,57.1,3.18,104.90,open,,,,,121.8900,,
20260623_JBHT,2026-06-23,JBHT,LONG,273.4800,1.3362,365.43,0.3654,1.0000,9.3987,254.9657,320.4734,60.0,3.09,79.29,open,,,,,284.6850,,
20260625_STX,2026-06-25,STX,LONG,993.2500,0.2517,250.00,0.2500,1.0000,65.1969,724.1459,1319.2347,60.0,2.81,198.34,open,,,,,993.2500,,
20260629_MU,2026-06-29,MU,LONG,1132.3300,0.2208,250.00,0.2500,1.0000,95.4074,846.1076,1609.3672,50.0,1.66,94.53,open,,,,,1132.3300,,
