ticker,sector,mom_score,mom_long,mom_short,rsi,adx,atr,sma_200,price,high_52w_pct,vol_ratio,vol_6mo
MU,Information Technology,3.480760338366421,3.480760338366421,1.1650349509012123,58.95014145899502,30.233549997530346,95.17835054654523,425.7092707824707,1132.3299560546875,0.9330646209358683,1.107274547865029,0.8739683424011634
INTC,Information Technology,2.5295651200888813,2.5295651200888813,1.5974828043655172,56.782258942649676,23.022928492461993,9.968069865340428,58.23210000038147,128.32000732421875,0.9104583872670636,0.9681074918288733,0.851458664782523
FLEX,Information Technology,1.636823853717643,1.636823853717643,1.2200395515630675,51.772858566152046,26.390901302868635,9.929154116830649,79.59215003967284,146.6999969482422,0.9058910382647533,1.3347492023813439,0.733800902992062
LRCX,Information Technology,1.2421156825643145,1.2421156825643145,0.2799106065006991,57.899337536500035,27.075132215500428,24.352688209870145,216.84002368927003,379.0899963378906,0.9256482600681217,1.2121927585572527,0.6436410624644331
MRNA,Health Care,1.0071670315583385,1.0071670315583385,-0.07319444032924471,71.2421439420718,21.69663600796697,4.5095519581637955,40.144374952316284,67.2699966430664,1.0,1.0883290241115988,0.7208514873366504
AMAT,Information Technology,1.0060131545352307,1.0060131545352307,0.13636471596444677,63.93468775423614,33.923362345114235,37.947404766481085,328.7417794036865,626.8400268554688,0.9383832737357317,1.3215669296208623,0.5981708418613016
KLAC,Information Technology,0.7885321709523319,0.7885321709523319,0.2670287386620367,58.83774621484311,26.796273825875783,15.659351962713888,148.20896812438966,248.63999938964844,0.9237628028188736,1.2153589339698316,0.6347635546900819
CAT,Industrials,0.6601481409222929,0.6601481409222929,0.18921272521948507,58.51282583935097,21.445399176264388,39.180793928704,683.4705760192871,997.469970703125,0.9436712627956078,1.284902327575863,0.4148026678427619
ASML,Industrial Machinery,0.658930357374488,0.658930357374488,0.04903342833851432,53.634303585434594,20.159868065153265,87.0606061907688,1290.6788681030273,1794.6199951171875,0.9300090922668667,1.1665445142019526,0.5055517696537314
JBHT,Industrials,0.6338247244099271,0.6338247244099271,0.2377387643485216,57.524824285223936,20.997627261498998,8.824776845838457,206.2095768737793,280.29998779296875,0.9686895285552832,1.0507995143499265,0.3286810648668776
FTNT,Information Technology,0.6222419390697169,0.6222419390697169,0.6539108316592557,67.60469578226292,39.949907413768024,5.732484967023886,91.63465000152588,151.35000610351562,1.0,1.124980264685396,0.44986583347019193
DVA,Health Care,0.620956325729275,0.620956325729275,0.3037255389641067,74.57041068596021,35.15429131059506,5.700711284354549,144.24959972381592,217.0399932861328,1.0,0.9563001637633171,0.49393656863686447
CNC,Health Care,0.6115068409540882,0.6115068409540882,0.377840280791752,64.28055708073575,31.45262396993255,2.2446687091032,42.91,65.7300033569336,0.9927504042565132,0.9542702276419701,0.5203592753673554
